number,millisec,type
0,623,submission
1,1161,submission
2,1703,submission
3,2236,submission
4,2728,submission
5,3228,submission
6,3728,submission
7,4253,submission
8,4806,submission
9,5361,submission
10,5856,submission
11,6398,submission
12,6931,submission
13,7462,submission
14,8503,submission
15,8924,submission
16,9430,submission
17,9983,submission
18,10486,submission
19,11043,submission
20,11594,submission
21,12137,submission
22,12645,submission
23,13172,submission
24,13709,submission
25,14305,submission
26,14842,submission
27,15368,submission
28,15918,submission
29,16433,submission
30,17023,submission
31,18526,submission
32,19048,submission
33,19555,submission
34,20088,submission
35,20595,submission
36,21249,submission
37,21735,submission
38,22279,submission
39,22804,submission
40,23309,submission
41,23730,submission
42,24289,submission
43,24751,submission
44,25282,submission
45,25889,submission
46,26448,submission
47,27048,submission
48,27558,submission
49,28040,submission
50,28542,submission
51,28925,submission
52,29319,submission
53,29744,submission
54,30189,submission
55,30604,submission
56,31002,submission
57,31398,submission
58,31812,submission
59,32253,submission
60,32679,submission
61,33097,submission
62,33509,submission
63,33940,submission
64,34349,submission
65,34759,submission
66,35161,submission
67,35652,submission
68,36160,submission
69,36710,submission
70,37371,submission
71,38029,submission
72,38878,submission
73,39498,submission
74,40024,submission
75,40457,submission
76,40897,submission
77,41332,submission
78,41737,submission
79,42141,submission
80,561,submission
81,1058,submission
82,1578,submission
83,2115,submission
84,2639,submission
85,3163,submission
86,3666,submission
87,4286,submission
88,4714,submission
89,5286,submission
90,5813,submission
91,6355,submission
92,6905,submission
93,7437,submission
94,7948,submission
95,8508,submission
96,9055,submission
97,9572,submission
98,10107,submission
99,10647,submission
100,12683,submission
101,13260,submission
102,13828,submission
103,14370,submission
104,14896,submission
105,15413,submission
106,15907,submission
107,16506,submission
108,17050,submission
109,17568,submission
110,18082,submission
111,18617,submission
112,19148,submission
113,19690,submission
114,20183,submission
115,20717,submission
116,21236,submission
117,22327,submission
118,22887,submission
119,23489,submission
120,23953,submission
121,24387,submission
122,24863,submission
123,25232,submission
124,25637,submission
125,26022,submission
126,26480,submission
127,27750,submission
128,28149,submission
129,28525,submission
130,28925,submission
131,29342,submission
132,29729,submission
133,30162,submission
134,30562,submission
135,31071,submission
136,31589,submission
137,32047,submission
138,32475,submission
139,32867,submission
140,33297,submission
141,33684,submission
142,34116,submission
143,34507,submission
144,34884,submission
145,35261,submission
146,35672,submission
147,36079,submission
148,36489,submission
149,36919,submission
150,37322,submission
151,37707,submission
152,38064,submission
